id,title,body,department,sentiment
6fe75ffd-9649-4e17-89f3-c66b4274f5d6,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
ac4fd0c8-da65-4711-ac1c-946701b58a9d,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
53503605-2a7b-4f03-8961-0041a6921843,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
15317b49-19d7-4703-8821-367faf1858da,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
572d2cfa-61bf-4d52-b7ec-157aa64fd50e,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
142595f9-4911-4879-a67d-72076b846773,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
8d3f1eeb-1882-4bb9-bdd6-b544cd999ef6,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
5d29c8f1-2979-47c3-adbc-4787118697ab,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
d32916e3-3dce-45c2-9c3f-7843b36a4844,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
961b30ec-f81a-457a-81cc-8cfad6f59359,Poca disponibilitÃ ,Personale poco cortese e difficile ottenere informazioni.,Reception,negativo
f1bdcf8b-ef6e-40b8-8bde-ee981f4e9350,Igiene scarsa,Ho trovato capelli nel bagno e cestino non svuotato.,Housekeeping,negativo
73d52de1-3194-4dc9-a753-a966fffbad3a,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
5ff07069-4c12-4dfa-a449-c23777a0205f,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
8d408585-7702-4a8c-9327-d4689f19aa80,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
7a22db0e-244e-4c3e-af01-1d4b31234d2e,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
f691b9c8-3bd8-484d-bc8f-c6d91ad59fd6,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
9cfb8310-5479-421f-9126-d4df2f58db8f,Accoglienza ottima,"Personale disponibile, spiegazioni chiare e assistenza immediata.",Reception,positivo
f33d63e5-1d9d-4206-9f25-14cfd4166b60,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
7c0e472e-bc2e-4188-9ac2-cd2c656cb452,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
f0fd9fff-e200-4fbe-a119-520e52fda33d,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
377a2b76-7e5d-46da-beca-dac9639d7ba2,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
373163d2-0652-47f7-bc5a-b3586fd18f9e,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
20ee36e4-452a-49ba-b243-e76d16ac4c88,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
30e8e86d-3b21-45b8-bf8b-930c594ef515,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
61c8cf99-6cb9-4fab-bbec-1e9875141ab5,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
94d353f6-c4d5-4d07-933f-9a51b378eeba,Igiene scarsa,Ho trovato capelli nel bagno e cestino non svuotato.,Housekeeping,negativo
be61d63b-6dd9-453e-baa0-3384b6be9767,Cibo freddo,Piatti arrivati tiepidi e buffet poco rifornito.,Food & Beverage,negativo
32af5508-26bd-4cb1-ab82-3ff5c648db5a,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
12c6ded6-6df6-4eff-8cbe-b2728fdd7e2f,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
b5e7c41b-1e6d-4fe9-9239-1c75662d3fb5,Servizio lento,"Attesa troppo lunga al ristorante e personale distratto. Inoltre, personale poco cortese e difficile ottenere informazioni.",Food & Beverage,negativo
bec5c110-2153-418e-8b93-c66b87da2a65,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
1d773a65-7e47-4ee0-aa3e-2eeddbce83a0,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
18f34465-56fd-40ce-a632-eeaf59de037c,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
a9778dd5-4213-4ceb-9017-96077efc344d,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
